accountId,instrument,lotSize,closeTradeId,positionId,closeOrderId,openOrderId,durationSec,openDateTime,closeDateTime,profit,reverseProfit,netProfit,commission,swap,amount,openPrice,closePrice,slPrice,tpPrice,side,currency,openTradeCrossPrice,closeTradeCrossPrice,userGroupId
D#1702693,XAUUSD,100,288230376152293075,288230376151998983,288230376154302638,288230376154302634,111,2026-05-26T01:07:46.000Z,2026-05-26T01:09:37.000Z,104.4,-107.2,90.4,-14,0,0.4,4546.33,4543.94,,4543.87,SELL,USD,1,1,1583663
D#1670916,XAUUSD,100,288230376152293261,288230376151998886,288230376154304512,288230376154301651,562,2026-05-26T01:04:48.000Z,2026-05-26T01:14:10.000Z,15.45,-15.66,14.39,-1.06,0,0.03,4543.31,4548.24,4539.45,,BUY,USD,1,1,1583663
D#1702568,XAUUSD,100,288230376152293267,288230376151998860,288230376154304562,288230376154301454,603,2026-05-26T01:04:17.000Z,2026-05-26T01:14:20.000Z,-151,147.5,-168.5,-17.5,0,0.5,4545.27,4548.51,,,SELL,USD,1,1,1583663
D#1702693,XAUUSD,100,288230376152293329,288230376151999052,288230376154304851,288230376154303406,301,2026-05-26T01:10:16.000Z,2026-05-26T01:15:17.000Z,26.8,-29.6,12.8,-14,0,0.4,4547.72,4547.27,,4545.19,SELL,USD,1,1,1583663
D#1614602,XAUUSD,100,288230376152293408,288230376151999151,288230376154305452,288230376154304586,192,2026-05-26T01:14:24.000Z,2026-05-26T01:17:36.000Z,6.05,-6.3999999999999995,4.29,-1.76,0,0.05,4548.12,4547.13,,,SELL,USD,1,1,1583663
D#1702667,XAUUSD,100,288230376152293502,288230376151998993,288230376154302917,288230376154302718,761,2026-05-26T01:08:03.000Z,2026-05-26T01:20:44.000Z,31,-32.4,24.0,-7,0,0.2,4545.51,4545.53,4545.71,4550.48,BUY,USD,1,1,1583663
D#1702693,XAUUSD,100,288230376152293535,288230376151999258,288230376154306033,288230376154306031,63,2026-05-26T01:20:02.000Z,2026-05-26T01:21:05.000Z,114,-116.8,100.0,-14,0,0.4,4547.08,4544.45,,4544.52,SELL,USD,1,1,1583663
D#1702417,XAUUSD,100,288230376152293562,288230376151999269,288230376154306251,288230376154306181,57,2026-05-26T01:20:33.000Z,2026-05-26T01:21:30.000Z,104.1,-106.19999999999999,93.6,-10.5,0,0.3,4547.16,4543.91,4551.46,4543.82,SELL,USD,1,1,1583663
D#1702496,XAUUSD,100,288230376152293611,288230376151999267,288230376154306694,288230376154306126,109,2026-05-26T01:20:18.000Z,2026-05-26T01:22:07.000Z,20.1,-20.450000000000003,18.34,-1.76,0,0.05,4547.83,4544.03,,,SELL,USD,1,1,1583663
D#1702691,XAUUSD,100,288230376152293689,288230376151998862,288230376154307281,288230376154301462,1205,2026-05-26T01:04:19.000Z,2026-05-26T01:24:24.000Z,4.24,-4.5200000000000005,2.84,-1.4,0,0.04,4545.12,4544.28,,,SELL,USD,1,1,1583663
D#1702667,XAUUSD,100,288230376152293838,288230376151999283,288230376154306703,288230376154306373,416,2026-05-26T01:21:08.000Z,2026-05-26T01:28:04.000Z,-37.8,36.4,-44.8,-7,0,0.2,4544.22,4546.33,4546.28,4540.16,SELL,USD,1,1,1583663
D#1702496,XAUUSD,100,288230376152293839,288230376151999328,288230376154307156,288230376154306888,320,2026-05-26T01:22:44.000Z,2026-05-26T01:28:04.000Z,-13.8,13.100000000000001,-17.3,-3.5,0,0.1,4544.73,4546.33,4546.34,,SELL,USD,1,1,1583663
D#1702693,XAUUSD,100,288230376152293870,288230376151999433,288230376154308437,288230376154308238,67,2026-05-26T01:28:13.000Z,2026-05-26T01:29:20.000Z,21.76,-24.560000000000002,7.76,-14,0,0.4,4546.03,4546.03,4545.79,4543.86,SELL,USD,1,1,1583663
D#1702501,XAUUSD,100,288230376152293873,288230376151999445,288230376154308517,288230376154308443,24,2026-05-26T01:29:07.000Z,2026-05-26T01:29:31.000Z,-0.19,0.12,-0.55,-0.36,0,0.01,4545.37,4544.96,,,BUY,USD,1,1,1583663
D#1702667,XAUUSD,100,288230376152293889,288230376151999439,288230376154308656,288230376154308293,98,2026-05-26T01:28:24.000Z,2026-05-26T01:30:02.000Z,-51,49.25,-59.76,-8.76,0,0.25,4546.15,4543.89,4543.16,4549.79,BUY,USD,1,1,1583663
D#1702667,XAUUSD,100,288230376152293984,288230376151999462,288230376154308895,288230376154308689,33,2026-05-26T01:30:07.000Z,2026-05-26T01:30:40.000Z,-124.5,121.0,-142.0,-17.5,0,0.5,4543.83,4541.12,,,BUY,USD,1,1,1583663
D#1702443,XAUUSD,100,288230376152294121,288230376151999285,288230376154309528,288230376154306400,677,2026-05-26T01:21:16.000Z,2026-05-26T01:32:33.000Z,40.04,-40.949999999999996,35.48,-4.56,0,0.13,4544.29,4541.43,4547.95,4537.31,SELL,USD,1,1,1583663
D#1702743,XAUUSD,100,288230376152294151,288230376151999144,288230376154306745,288230376154304504,1122,2026-05-26T01:14:08.000Z,2026-05-26T01:32:50.000Z,8.66,-8.73,8.3,-0.36,0,0.01,4548.04,4539.6,4554.9,4539.52,SELL,USD,1,1,1583663
D#1702691,XAUUSD,100,288230376152294143,288230376151999362,288230376154308103,288230376154307343,488,2026-05-26T01:24:42.000Z,2026-05-26T01:32:50.000Z,57.82,-58.8,52.92,-4.9,0,0.14,4543.54,4539.63,,4539.76,SELL,USD,1,1,1583663
D#1702504,XAUUSD,100,288230376152294180,288230376151999539,288230376154309251,288230376154309249,99,2026-05-26T01:31:40.000Z,2026-05-26T01:33:19.000Z,-121.92,118.56,-138.72,-16.8,0,0.48,4542.06,4539.3,4539.38,4546.45,BUY,USD,1,1,1583663
D#1702589,XAUUSD,100,288230376152294182,288230376151999192,288230376154305090,288230376154305084,1033,2026-05-26T01:16:07.000Z,2026-05-26T01:33:20.000Z,40.32,-40.74,38.22,-2.1,0,0.06,4545.94,4539.44,4553.49,4539.29,SELL,USD,1,1,1583663
D#1702582,XAUUSD,100,288230376152294187,288230376151999294,288230376154309821,288230376154306476,712,2026-05-26T01:21:30.000Z,2026-05-26T01:33:22.000Z,87.8,-89.2,80.8,-7,0,0.2,4543.69,4539.52,,,SELL,USD,1,1,1583663
D#1702518,XAUUSD,100,288230376152294218,288230376151998813,288230376154300921,288230376154300919,1883,2026-05-26T01:02:30.000Z,2026-05-26T01:33:53.000Z,-22.29,22.08,-23.35,-1.06,0,0.03,4546.58,4538.93,4539.12,,BUY,USD,1,1,1583663
D#1702430,XAUUSD,100,288230376152294217,288230376151998817,288230376154305323,288230376154300980,1870,2026-05-26T01:02:43.000Z,2026-05-26T01:33:53.000Z,-40.95,40.6,-42.71,-1.76,0,0.05,4547.34,4538.93,4539,4553,BUY,USD,1,1,1583663
D#1702380,XAUUSD,100,288230376152294404,288230376151999618,288230376154310790,288230376154310145,123,2026-05-26T01:34:14.000Z,2026-05-26T01:36:17.000Z,-0.46,0.39,-0.82,-0.36,0,0.01,4537.55,4538.23,,,SELL,USD,1,1,1583663
