accountId,instrument,lotSize,closeTradeId,positionId,closeOrderId,openOrderId,durationSec,openDateTime,closeDateTime,profit,reverseProfit,netProfit,commission,swap,amount,openPrice,closePrice,slPrice,tpPrice,side,currency,openTradeCrossPrice,closeTradeCrossPrice,userGroupId
D#1589457,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,116,2026-07-03T01:00:35.000Z,2026-07-03T01:02:31.000Z,-44.4,43.35,-49.66,-5.26,0,0.15,4149.22,4152.4,,4143.89,SELL,USD,1,1,1583663
D#1670932,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,109,2026-07-03T01:00:42.000Z,2026-07-03T01:02:31.000Z,-39.24,38.4,-43.44,-4.2,0,0.12,4149.6,4153.09,4152.93,4146.18,SELL,USD,1,1,1583663
D#1614593,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,162,2026-07-03T01:00:22.000Z,2026-07-03T01:03:04.000Z,-145.2,143.1,-155.7,-10.5,0,0.3,4148.04,4153.1,,4144.41,SELL,USD,1,1,1583663
D#1702452,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,137,2026-07-03T01:00:59.000Z,2026-07-03T01:03:16.000Z,-59.51,58.74,-63.37,-3.86,0,0.11,4149.53,4155.16,4155,,SELL,USD,1,1,1583663
D#1670932,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,31,2026-07-03T01:02:45.000Z,2026-07-03T01:03:16.000Z,-43.89,42.56,-50.55,-6.66,0,0.19,4152.16,4154.69,,,SELL,USD,1,1,1583663
D#1702395,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,98,2026-07-03T01:02:04.000Z,2026-07-03T01:03:42.000Z,141.3,-142.35,136.04,-5.26,0,0.15,4149.54,4158.74,,,BUY,USD,1,1,1583663
D#1702395,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,30,2026-07-03T01:04:19.000Z,2026-07-03T01:04:49.000Z,21.75,-22.8,16.49,-5.26,0,0.15,4159.67,4160.9,,,BUY,USD,1,1,1583663
D#1589457,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,137,2026-07-03T01:02:34.000Z,2026-07-03T01:04:51.000Z,-155.8,154.4,-162.8,-7,0,0.2,4152.9,4160.91,,4146.52,SELL,USD,1,1,1583663
D#1670932,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,76,2026-07-03T01:03:53.000Z,2026-07-03T01:05:09.000Z,-28.12,26.79,-34.78,-6.66,0,0.19,4159.72,4161.42,,,SELL,USD,1,1,1583663
D#1670932,XAUUSD,100,2.8823E+17,2.8823E+17,2.8823E+17,2.8823E+17,46,2026-07-03T01:05:30.000Z,2026-07-03T01:06:16.000Z,-49.4,48.49,-53.96,-4.56,0,0.13,4159.39,4163.41,,,SELL,USD,1,1,1583663
