accountId,instrument,lotSize,closeTradeId,positionId,closeOrderId,openOrderId,durationSec,openDateTime,closeDateTime,profit,reverseProfit,netProfit,commission,swap,amount,openPrice,closePrice,slPrice,tpPrice,side,currency,openTradeCrossPrice,closeTradeCrossPrice,userGroupId
D#1645625,XAUUSD,100,7349874591903930241,7349874591885628592,7349874591964660940,7349874591964660912,631,2026-02-24T00:49:38.000Z,2026-02-24T01:00:09.000Z,107.28,-107.56,105.88,-1.4,0,0.04,5229.6,5203,5264.71,5203.46,SELL,USD,1,1,1583664
D#1702379,XAUUSD,100,7349874591903930511,7349874591885628953,7349874591964663694,7349874591964663408,19,2026-02-24T01:02:19.000Z,2026-02-24T01:02:38.000Z,0.47,-0.54,0.11,-0.36,0,0.01,5205.89,5206.14,,,BUY,USD,1,1,1583663
D#1645651,XAUUSD,100,7349874591903930537,7349874591885628946,7349874591964663739,7349874591964663378,29,2026-02-24T01:02:15.000Z,2026-02-24T01:02:44.000Z,2.24,-2.31,1.88,-0.36,0,0.01,5209.25,5207.23,,,SELL,USD,1,1,1583663
D#1670922,XAUUSD,100,7349874591903930937,7349874591885629157,7349874591964665237,7349874591964665058,38,2026-02-24T01:07:03.000Z,2026-02-24T01:07:41.000Z,1,-1.07,0.64,-0.36,0,0.01,5200.94,5200.16,,,SELL,USD,1,1,1583663
D#1702617,XAUUSD,100,7349874591903931087,7349874591885629132,7349874591964665786,7349874591964664896,208,2026-02-24T01:06:23.000Z,2026-02-24T01:09:51.000Z,5.52,-5.7299999999999995,4.46,-1.06,0,0.03,5204.96,5206.58,,,BUY,USD,1,1,1583663
D#1670952,XAUUSD,100,7349874591903931235,7349874591885629252,7349874591964666254,7349874591964665787,109,2026-02-24T01:09:51.000Z,2026-02-24T01:11:40.000Z,61.6,-62.300000000000004,58.1,-3.5,0,0.1,5206.61,5200.67,,,SELL,USD,1,1,1583663
D#1702513,XAUUSD,100,7349874591903931337,7349874591885629359,7349874591964666503,7349874591964666364,35,2026-02-24T01:12:05.000Z,2026-02-24T01:12:40.000Z,3.23,-3.3,2.87,-0.36,0,0.01,5197.58,5194.57,,,SELL,USD,1,1,1583663
D#1670923,XAUUSD,100,7349874591903931612,7349874591885629450,7349874591964667229,7349874591964666879,84,2026-02-24T01:13:46.000Z,2026-02-24T01:15:10.000Z,12.7,-13.399999999999999,9.2,-3.5,0,0.1,5185.36,5186.41,5174.16,5193.21,BUY,USD,1,1,1583663
D#1670979,XAUUSD,100,7349874591903931760,7349874591885629483,7349874591964667425,7349874591964667104,40,2026-02-24T01:14:40.000Z,2026-02-24T01:15:20.000Z,16.19,-16.26,15.83,-0.36,0,0.01,5185,5169.03,5259.5,5108.73,SELL,USD,1,1,1583663
D#1702376,XAUUSD,100,7349874591903931874,7349874591885629312,7349874591964667655,7349874591964666048,300,2026-02-24T01:10:51.000Z,2026-02-24T01:15:51.000Z,-220.75,220.4,-222.51,-1.76,0,0.05,5208.07,5163.7,,5213.7,BUY,USD,1,1,1583663
D#1670990,XAUUSD,100,7349874591903932077,7349874591885629598,7349874591964667922,7349874591964667754,20,2026-02-24T01:16:00.000Z,2026-02-24T01:16:20.000Z,77.4,-78.80000000000001,70.4,-7,0,0.2,5159.69,5156.04,,,SELL,USD,1,1,1583663
D#1671071,XAUUSD,100,7349874591903932664,7349874591885629935,7349874591964669847,7349874591964669794,41,2026-02-24T01:21:33.000Z,2026-02-24T01:22:14.000Z,-3.35,3.2800000000000002,-3.71,-0.36,0,0.01,5167.25,5170.82,5171.12,5147.12,SELL,USD,1,1,1583663
D#1671071,XAUUSD,100,7349874591903932853,7349874591885630006,7349874591964671153,7349874591964671047,23,2026-02-24T01:23:57.000Z,2026-02-24T01:24:20.000Z,6.76,-6.8999999999999995,6.06,-0.7,0,0.02,5163.16,5160,5172.21,5145.71,SELL,USD,1,1,1583663
D#1702426,XAUUSD,100,7349874591903933006,7349874591885630044,7349874591964671521,7349874591964671226,81,2026-02-24T01:24:49.000Z,2026-02-24T01:26:10.000Z,0.48,-0.69,-0.58,-1.06,0,0.03,5150.41,5150.47,,5109.78,SELL,USD,1,1,1583663
