accountId,instrument,lotSize,closeTradeId,positionId,closeOrderId,openOrderId,durationSec,openDateTime,closeDateTime,profit,reverseProfit,netProfit,commission,swap,amount,openPrice,closePrice,slPrice,tpPrice,side,currency,openTradeCrossPrice,closeTradeCrossPrice,userGroupId
D#1702513,XAUUSD,100,7349874591905584447,7349874591886441980,7349874591969095050,7349874591969094996,13,2026-03-24T01:00:12.000Z,2026-03-24T01:00:25.000Z,-79.4,78.0,-86.4,-7,0,0.2,4362.59,4366.78,4366.98,,SELL,USD,1,1,1583663
D#1702513,XAUUSD,100,7349874591905584460,7349874591886441992,7349874591969095170,7349874591969095137,6,2026-03-24T01:00:35.000Z,2026-03-24T01:00:41.000Z,101.4,-102.80000000000001,94.4,-7,0,0.2,4370.98,4366.13,,,SELL,USD,1,1,1583663
D#1670976,XAUUSD,100,7349874591905584598,7349874591886442052,7349874591969095918,7349874591969095748,31,2026-03-24T01:02:09.000Z,2026-03-24T01:02:40.000Z,-330.6,328.5,-341.1,-10.5,0,0.3,4374.09,4362.85,,,BUY,USD,1,1,1583663
D#1702688,XAUUSD,100,7349874591905584658,7349874591886442045,7349874591969096290,7349874591969095667,103,2026-03-24T01:01:57.000Z,2026-03-24T01:03:40.000Z,-273.2,271.8,-280.2,-7,0,0.2,4370.3,4356.42,,,BUY,USD,1,1,1583663
D#1702515,XAUUSD,100,7349874591905584894,7349874591886442150,7349874591969097748,7349874591969096707,180,2026-03-24T01:04:45.000Z,2026-03-24T01:07:45.000Z,4.19,-4.260000000000001,3.83,-0.36,0,0.01,4360.87,4356.9,,,SELL,USD,1,1,1583663
D#1702487,XAUUSD,100,7349874591905585006,7349874591886442158,7349874591969096806,7349874591969096164,242,2026-03-24T01:05:01.000Z,2026-03-24T01:09:03.000Z,-47.5,47.15,-49.26,-1.76,0,0.05,4352.86,4343.14,4343.62,4428.67,BUY,USD,1,1,1583663
D#1702620,XAUUSD,100,7349874591905585050,7349874591886442105,7349874591969097549,7349874591969096223,366,2026-03-24T01:03:29.000Z,2026-03-24T01:09:35.000Z,250.8,-252.34,243.1,-7.7,0,0.22,4356.56,4345.38,4345.25,4320.18,SELL,USD,1,1,1583663
D#1702620,XAUUSD,100,7349874591905585066,7349874591886442324,7349874591969098543,7349874591969098498,7,2026-03-24T01:09:42.000Z,2026-03-24T01:09:49.000Z,61.25,-63.0,52.49,-8.76,0,0.25,4345.24,4347.47,,,BUY,USD,1,1,1583663
D#1702620,XAUUSD,100,7349874591905585097,7349874591886442339,7349874591969098778,7349874591969098634,26,2026-03-24T01:10:02.000Z,2026-03-24T01:10:28.000Z,81.25,-83.0,72.49,-8.76,0,0.25,4344.76,4347.79,,,BUY,USD,1,1,1583663
D#1702581,XAUUSD,100,7349874591905585122,7349874591886442321,7349874591969098661,7349874591969098473,75,2026-03-24T01:09:38.000Z,2026-03-24T01:10:53.000Z,-52.65,52.3,-54.41,-1.76,0,0.05,4345.73,4356.48,4355.84,4325.84,SELL,USD,1,1,1583663
D#1702437,XAUUSD,100,7349874591905585142,7349874591886442231,7349874591969097715,7349874591969097590,229,2026-03-24T01:07:14.000Z,2026-03-24T01:11:03.000Z,-1.9,1.1999999999999997,-5.4,-3.5,0,0.1,4360.59,4360.18,,4359.72,BUY,USD,1,1,1583663
D#1702620,XAUUSD,100,7349874591905585141,7349874591886442354,7349874591969098975,7349874591969098845,23,2026-03-24T01:10:40.000Z,2026-03-24T01:11:03.000Z,167,-168.75,158.24,-8.76,0,0.25,4353.56,4360.02,,,BUY,USD,1,1,1583663
D#1702359,XAUUSD,100,7349874591905585205,7349874591886442353,7349874591969098837,7349874591969098671,94,2026-03-24T01:10:39.000Z,2026-03-24T01:12:13.000Z,-104.1,103.39999999999999,-107.6,-3.5,0,0.1,4351.68,4362.31,4362.49,4332.39,SELL,USD,1,1,1583663
D#1670920,XAUUSD,100,7349874591905585208,7349874591886442388,7349874591969099411,7349874591969099240,26,2026-03-24T01:11:49.000Z,2026-03-24T01:12:15.000Z,38.75,-40.5,29.99,-8.76,0,0.25,4358.39,4359.72,4360.8,,BUY,USD,1,1,1583663
D#1670920,XAUUSD,100,7349874591905585235,7349874591886442407,7349874591969099597,7349874591969099443,26,2026-03-24T01:12:21.000Z,2026-03-24T01:12:47.000Z,234.9,-236.93,224.74,-10.16,0,0.29,4357.7,4349.82,4353.4,,SELL,USD,1,1,1583663
D#1702581,XAUUSD,100,7349874591905585275,7349874591886442380,7349874591969099571,7349874591969099153,131,2026-03-24T01:11:36.000Z,2026-03-24T01:13:47.000Z,-78.85,78.5,-80.61,-1.76,0,0.05,4358.82,4342.83,4344.71,4378.71,BUY,USD,1,1,1583663
D#1670920,XAUUSD,100,7349874591905585277,7349874591886442419,7349874591969099823,7349874591969099671,46,2026-03-24T01:13:01.000Z,2026-03-24T01:13:47.000Z,-283.8,281.7,-294.3,-10.5,0,0.3,4352.51,4342.83,4344.97,,BUY,USD,1,1,1583663
D#1614596,XAUUSD,100,7349874591905585336,7349874591886442377,7349874591969099972,7349874591969099134,164,2026-03-24T01:11:32.000Z,2026-03-24T01:14:16.000Z,118.2,-118.55,116.44,-1.76,0,0.05,4358.66,4335.24,4350.16,4337.11,SELL,USD,1,1,1583663
D#1670920,XAUUSD,100,7349874591905585411,7349874591886442444,7349874591969100439,7349874591969099982,65,2026-03-24T01:13:51.000Z,2026-03-24T01:14:56.000Z,378,-380.1,367.5,-10.5,0,0.3,4344.57,4332.19,4332.38,4318.8,SELL,USD,1,1,1583663
