accountId,instrument,lotSize,closeTradeId,positionId,closeOrderId,openOrderId,durationSec,openDateTime,closeDateTime,profit,reverseProfit,netProfit,commission,swap,amount,openPrice,closePrice,slPrice,tpPrice,side,currency,openTradeCrossPrice,closeTradeCrossPrice,userGroupId
D#1702729,XAUUSD,100,7349874591907346739,7349874591887309228,7349874591975358332,7349874591975358005,57,2026-04-24T01:00:24.000Z,2026-04-24T01:01:21.000Z,54.75,-56.5,45.99,-8.76,0,0.25,4704.88,4702.91,4708.13,4700.83,SELL,USD,1,1,1583663
D#1702566,XAUUSD,100,7349874591907346937,7349874591887309282,7349874591975359246,7349874591975358498,124,2026-04-24T01:01:47.000Z,2026-04-24T01:03:51.000Z,1.18,-1.32,0.48,-0.7,0,0.02,4701.25,4701.62,,,BUY,USD,1,1,1583663
D#1702553,XAUUSD,100,7349874591907347069,7349874591887309368,7349874591975359286,7349874591975359152,94,2026-04-24T01:03:34.000Z,2026-04-24T01:05:08.000Z,-49.72,48.95,-53.58,-3.86,0,0.11,4700.96,4696.22,4696,4710.09,BUY,USD,1,1,1583663
D#1702459,XAUUSD,100,7349874591907347097,7349874591887309435,7349874591975359827,7349874591975359677,20,2026-04-24T01:05:01.000Z,2026-04-24T01:05:21.000Z,13.4,-14.8,6.4,-7,0,0.2,4697.95,4698.4,,,BUY,USD,1,1,1583663
D#1670960,XAUUSD,100,7349874591907347119,7349874591887309297,7349874591975359920,7349874591975358643,203,2026-04-24T01:02:12.000Z,2026-04-24T01:05:35.000Z,-4.4,4.05,-6.16,-1.76,0,0.05,4698.73,4697.63,,4714.55,BUY,USD,1,1,1583663
D#1702358,XAUUSD,100,7349874591907347195,7349874591887309463,7349874591975360207,7349874591975359784,67,2026-04-24T01:05:13.000Z,2026-04-24T01:06:20.000Z,-209.62,206.33,-226.08,-16.46,0,0.47,4696.68,4701.36,,,SELL,USD,1,1,1583663
D#1702729,XAUUSD,100,7349874591907347309,7349874591887309284,7349874591975361008,7349874591975358511,429,2026-04-24T01:01:49.000Z,2026-04-24T01:08:58.000Z,-1.55,1.48,-1.91,-0.36,0,0.01,4700.21,4701.98,4702.61,4690.51,SELL,USD,1,1,1583663
D#1702729,XAUUSD,100,7349874591907347335,7349874591887309598,7349874591975361194,7349874591975361016,31,2026-04-24T01:08:59.000Z,2026-04-24T01:09:30.000Z,20.5,-22.25,11.74,-8.76,0,0.25,4702.31,4702.91,,,BUY,USD,1,1,1583663
D#1702560,XAUUSD,100,7349874591907347384,7349874591887309339,7349874591975358942,7349874591975358940,459,2026-04-24T01:03:00.000Z,2026-04-24T01:10:39.000Z,-58.9,58.2,-62.4,-3.5,0,0.1,4699.28,4705.39,4705.19,4687.91,SELL,USD,1,1,1583663
D#1702397,XAUUSD,100,7349874591907347397,7349874591887309402,7349874591975361621,7349874591975359418,394,2026-04-24T01:04:17.000Z,2026-04-24T01:10:51.000Z,-212.4,209.6,-226.4,-14,0,0.4,4699.97,4705.5,,4679.96,SELL,USD,1,1,1583663
D#1702667,XAUUSD,100,7349874591907347398,7349874591887309462,7349874591975361627,7349874591975359778,339,2026-04-24T01:05:12.000Z,2026-04-24T01:10:51.000Z,92.3,-93.0,88.8,-3.5,0,0.1,4696.38,4705.39,4666.3,,BUY,USD,1,1,1583663
D#1670868,XAUUSD,100,7349874591907347404,7349874591887309570,7349874591975360613,7349874591975359961,200,2026-04-24T01:07:36.000Z,2026-04-24T01:10:56.000Z,-29.4,28.7,-32.9,-3.5,0,0.1,4703.02,4706.18,4705.99,,SELL,USD,1,1,1583663
D#1702544,XAUUSD,100,7349874591907347424,7349874591887309587,7349874591975361019,7349874591975360894,160,2026-04-24T01:08:34.000Z,2026-04-24T01:11:14.000Z,-49.5,48.8,-53,-3.5,0,0.1,4701.55,4706.72,4706.6,4689.93,SELL,USD,1,1,1583663
D#1670951,XAUUSD,100,7349874591907347430,7349874591887309500,7349874591975360259,7349874591975360089,316,2026-04-24T01:06:01.000Z,2026-04-24T01:11:17.000Z,105.45,-106.5,100.19,-5.26,0,0.15,4700.04,4706.85,4701.95,4707.04,BUY,USD,1,1,1583663
D#1702669,XAUUSD,100,7349874591907347459,7349874591887309542,7349874591975360963,7349874591975360444,256,2026-04-24T01:07:05.000Z,2026-04-24T01:11:21.000Z,74.1,-74.8,70.6,-3.5,0,0.1,4701.03,4708.22,4696.97,4707.56,BUY,USD,1,1,1583663
D#1671070,XAUUSD,100,7349874591907347524,7349874591887309530,7349874591975362001,7349874591975360367,306,2026-04-24T01:06:48.000Z,2026-04-24T01:11:54.000Z,81.6,-82.3,78.1,-3.5,0,0.1,4700.5,4708.44,,,BUY,USD,1,1,1583663
D#1702566,XAUUSD,100,7349874591907347554,7349874591887309413,7349874591975362125,7349874591975359474,474,2026-04-24T01:04:25.000Z,2026-04-24T01:12:19.000Z,46.1,-46.45,44.34,-1.76,0,0.05,4699.62,4708.62,,,BUY,USD,1,1,1583663
D#1702729,XAUUSD,100,7349874591907347894,7349874591887309621,7349874591975363858,7349874591975361248,516,2026-04-24T01:09:40.000Z,2026-04-24T01:18:16.000Z,3.25,-3.32,2.89,-0.36,0,0.01,4704.28,4707.31,4695.55,4728.14,BUY,USD,1,1,1583663
D#1702729,XAUUSD,100,7349874591907347929,7349874591887309883,7349874591975364009,7349874591975363970,11,2026-04-24T01:18:44.000Z,2026-04-24T01:18:55.000Z,39.5,-41.25,30.74,-8.76,0,0.25,4707.81,4706.45,,,SELL,USD,1,1,1583663
D#1670951,XAUUSD,100,7349874591907348052,7349874591887309869,7349874591975364021,7349874591975363868,117,2026-04-24T01:18:18.000Z,2026-04-24T01:20:15.000Z,-59.85,58.8,-65.11,-5.26,0,0.15,4707.53,4703.32,4703.98,4714.96,BUY,USD,1,1,1583663
D#1671094,XAUUSD,100,7349874591907348287,7349874591887310048,7349874591975365847,7349874591975365650,55,2026-04-24T01:24:10.000Z,2026-04-24T01:25:05.000Z,-6.36,2.65,-24.92,-18.56,0,0.53,4703.08,4702.74,,,BUY,USD,1,1,1583663
D#1670951,XAUUSD,100,7349874591907348328,7349874591887309945,7349874591975364712,7349874591975364497,320,2026-04-24T01:20:17.000Z,2026-04-24T01:25:37.000Z,-37.5,36.45,-42.76,-5.26,0,0.15,4703.44,4700.72,4700.84,4711.08,BUY,USD,1,1,1583663
D#1702729,XAUUSD,100,7349874591907348344,7349874591887309907,7349874591975366042,7349874591975364224,375,2026-04-24T01:19:29.000Z,2026-04-24T01:25:44.000Z,5.24,-5.31,4.88,-0.36,0,0.01,4705.95,4700.93,4711.17,4695.54,SELL,USD,1,1,1583663
D#1702729,XAUUSD,100,7349874591907348367,7349874591887310089,7349874591975366188,7349874591975366111,16,2026-04-24T01:26:01.000Z,2026-04-24T01:26:17.000Z,15.5,-17.25,6.74,-8.76,0,0.25,4701.82,4702.22,,,BUY,USD,1,1,1583663
D#1702669,XAUUSD,100,7349874591907348431,7349874591887309735,7349874591975364098,7349874591975362495,897,2026-04-24T01:13:32.000Z,2026-04-24T01:28:29.000Z,80.8,-81.5,77.3,-3.5,0,0.1,4708.14,4700.28,4711.04,4700.32,SELL,USD,1,1,1583663
D#1670951,XAUUSD,100,7349874591907348432,7349874591887310094,7349874591975366271,7349874591975366160,137,2026-04-24T01:26:12.000Z,2026-04-24T01:28:29.000Z,-30.45,29.4,-35.71,-5.26,0,0.15,4702.33,4700.08,4700.32,4709.87,BUY,USD,1,1,1583663
D#1702459,XAUUSD,100,7349874591907348478,7349874591887309491,7349874591975360313,7349874591975360029,1419,2026-04-24T01:05:52.000Z,2026-04-24T01:29:31.000Z,8.2,-9.6,1.2,-7,0,0.2,4699.08,4699.27,4699.38,4731,BUY,USD,1,1,1583663
D#1671094,XAUUSD,100,7349874591907348479,7349874591887310088,7349874591975366691,7349874591975366104,211,2026-04-24T01:26:00.000Z,2026-04-24T01:29:31.000Z,-115,111.5,-132.5,-17.5,0,0.5,4701.79,4699.27,4699.55,4709.47,BUY,USD,1,1,1583663
D#1702587,XAUUSD,100,7349874591907348523,7349874591887310111,7349874591975367062,7349874591975366348,185,2026-04-24T01:26:57.000Z,2026-04-24T01:30:02.000Z,77.6,-79.0,70.6,-7,0,0.2,4702.59,4698.93,,,SELL,USD,1,1,1583663
D#1670951,XAUUSD,100,7349874591907348648,7349874591887310149,7349874591975367038,7349874591975366803,147,2026-04-24T01:29:04.000Z,2026-04-24T01:31:31.000Z,-40.5,39.45,-45.76,-5.26,0,0.15,4700.81,4697.89,4698.15,4708.28,BUY,USD,1,1,1583663
D#1702553,XAUUSD,100,7349874591907348654,7349874591887309480,7349874591975360156,7349874591975359929,1556,2026-04-24T01:05:36.000Z,2026-04-24T01:31:32.000Z,21.68,-22.03,19.92,-1.76,0,0.05,4697.83,4697.75,4697.88,4719.78,BUY,USD,1,1,1583663
D#1671094,XAUUSD,100,7349874591907348680,7349874591887310210,7349874591975367672,7349874591975367234,77,2026-04-24T01:30:24.000Z,2026-04-24T01:31:41.000Z,-65,61.5,-82.5,-17.5,0,0.5,4699.68,4698.16,,4708,BUY,USD,1,1,1583663
