accountId,instrument,lotSize,closeTradeId,positionId,closeOrderId,openOrderId,durationSec,openDateTime,closeDateTime,profit,reverseProfit,netProfit,commission,swap,amount,openPrice,closePrice,slPrice,tpPrice,side,currency,openTradeCrossPrice,closeTradeCrossPrice,userGroupId
D#1702591,XAUUSD,100,7349874591908640852,7349874591887946037,7349874591981515950,7349874591981515802,60,2026-05-15T01:05:33.000Z,2026-05-15T01:06:33.000Z,-41.4,40.35,-46.66,-5.26,0,0.15,4620.63,4617.65,4617.86,4628.43,BUY,USD,1,1,1583663
D#1702463,XAUUSD,100,7349874591908640990,7349874591887945916,7349874591981516536,7349874591981514328,331,2026-05-15T01:01:40.000Z,2026-05-15T01:07:11.000Z,-267.12,265.65,-274.48,-7.36,0,0.21,4625.63,4612.69,,4638.01,BUY,USD,1,1,1583663
D#1702591,XAUUSD,100,7349874591908641215,7349874591887946176,7349874591981516955,7349874591981516798,122,2026-05-15T01:07:45.000Z,2026-05-15T01:09:47.000Z,-31.95,30.9,-37.21,-5.26,0,0.15,4612.98,4610.63,4610.63,4620.12,BUY,USD,1,1,1583663
D#1702726,XAUUSD,100,7349874591908641504,7349874591887946202,7349874591981517437,7349874591981517032,282,2026-05-15T01:08:17.000Z,2026-05-15T01:12:59.000Z,121.8,-123.2,114.8,-7,0,0.2,4613.96,4608.09,4618.64,4607.82,SELL,USD,1,1,1583663
D#1702480,XAUUSD,100,7349874591908641753,7349874591887946526,7349874591981520205,7349874591981520044,25,2026-05-15T01:15:45.000Z,2026-05-15T01:16:10.000Z,-152.2,150.79999999999998,-159.2,-7,0,0.2,4610.1,4617.93,,,SELL,USD,1,1,1583663
D#1645651,XAUUSD,100,7349874591908642066,7349874591887946191,7349874591981519656,7349874591981516911,760,2026-05-15T01:07:59.000Z,2026-05-15T01:20:39.000Z,223.6,-225.0,216.6,-7,0,0.2,4612.44,4623.4,,4623.1,BUY,USD,1,1,1583663
D#1670950,XAUUSD,100,7349874591908642090,7349874591887946463,7349874591981519544,7349874591981519369,410,2026-05-15T01:13:54.000Z,2026-05-15T01:20:44.000Z,126.1,-126.8,122.6,-3.5,0,0.1,4612.61,4625,4607.96,4624.34,BUY,USD,1,1,1583663
D#1702726,XAUUSD,100,7349874591908642087,7349874591887946607,7349874591981521170,7349874591981520917,159,2026-05-15T01:18:05.000Z,2026-05-15T01:20:44.000Z,132.4,-133.8,125.4,-7,0,0.2,4618.69,4625.09,4614.29,4624.23,BUY,USD,1,1,1583663
D#1702715,XAUUSD,100,7349874591908642101,7349874591887946643,7349874591981521543,7349874591981521162,122,2026-05-15T01:18:43.000Z,2026-05-15T01:20:45.000Z,153.2,-154.6,146.2,-7,0,0.2,4617.81,4625.25,4613.83,4625.79,BUY,USD,1,1,1583663
D#1670950,XAUUSD,100,7349874591908642267,7349874591887946778,7349874591981522762,7349874591981522724,7,2026-05-15T01:22:51.000Z,2026-05-15T01:22:58.000Z,-4.5,3.8,-8.0,-3.5,0,0.1,4620.03,4620.7,,,SELL,USD,1,1,1583663
D#1670950,XAUUSD,100,7349874591908642297,7349874591887946787,7349874591981522854,7349874591981522832,2,2026-05-15T01:23:09.000Z,2026-05-15T01:23:11.000Z,2.7,-3.4000000000000004,-0.8,-3.5,0,0.1,4618.26,4618.21,,,SELL,USD,1,1,1583663
