accountId,instrument,lotSize,closeTradeId,positionId,closeOrderId,openOrderId,durationSec,openDateTime,closeDateTime,profit,reverseProfit,netProfit,commission,swap,amount,openPrice,closePrice,slPrice,tpPrice,side,currency,openTradeCrossPrice,closeTradeCrossPrice,userGroupId
D#1671061,XAUUSD,100,288230376154735018,288230376153202865,288230376165858073,288230376165857711,49,2026-06-30T01:00:16.000Z,2026-06-30T01:01:05.000Z,1.6,-1.9500000000000002,-0.16,-1.76,0,0.05,3980.9,3980.8,,,SELL,USD,1,1,1583663
D#1702422,XAUUSD,100,288230376154735457,288230376153203063,288230376165859824,288230376165859107,83,2026-06-30T01:03:11.000Z,2026-06-30T01:04:34.000Z,100.2,-101.60000000000001,93.2,-7,0,0.2,3978.77,3983.56,3966.21,3984.88,BUY,USD,1,1,1583663
D#1702473,XAUUSD,100,288230376154735776,288230376153203224,288230376165860732,288230376165860290,43,2026-06-30T01:05:34.000Z,2026-06-30T01:06:17.000Z,71.5,-73.25,62.74,-8.76,0,0.25,3976.84,3974.2,,3970.14,SELL,USD,1,1,1583663
D#1591594,XAUUSD,100,288230376154735853,288230376153203111,288230376165860761,288230376165859492,160,2026-06-30T01:03:59.000Z,2026-06-30T01:06:39.000Z,-327.75,326.0,-336.51,-8.76,0,0.25,3980.97,3967.64,3968.85,3988.92,BUY,USD,1,1,1583663
D#1671061,XAUUSD,100,288230376154735888,288230376153203112,288230376165860108,288230376165859497,163,2026-06-30T01:04:00.000Z,2026-06-30T01:06:43.000Z,102.76,-103.25,100.3,-2.46,0,0.07,3980.47,3966.01,3987.93,3966.4,SELL,USD,1,1,1583663
D#1702422,XAUUSD,100,288230376154735935,288230376153203172,288230376165861067,288230376165859946,122,2026-06-30T01:04:50.000Z,2026-06-30T01:06:52.000Z,-262.4,261.0,-269.4,-7,0,0.2,3980.39,3967.05,3963.55,3985.64,BUY,USD,1,1,1583663
D#1702561,XAUUSD,100,288230376154736075,288230376153203209,288230376165861260,288230376165860204,109,2026-06-30T01:05:23.000Z,2026-06-30T01:07:12.000Z,-454,452.6,-461.0,-7,0,0.2,3977.68,3954.76,,3982.1,BUY,USD,1,1,1583663
D#1702473,XAUUSD,100,288230376154736263,288230376153203418,288230376165861544,288230376165861474,6,2026-06-30T01:07:27.000Z,2026-06-30T01:07:33.000Z,89,-90.75,80.24,-8.76,0,0.25,3954.26,3950.92,,,SELL,USD,1,1,1583663
D#1702526,XAUUSD,100,288230376154736377,288230376153203392,288230376165861744,288230376165861363,33,2026-06-30T01:07:18.000Z,2026-06-30T01:07:51.000Z,67.65,-68.42,63.79,-3.86,0,0.11,3952.47,3946.54,,,SELL,USD,1,1,1583663
D#1589457,XAUUSD,100,288230376154736386,288230376153203283,288230376165861804,288230376165860628,114,2026-06-30T01:06:06.000Z,2026-06-30T01:08:00.000Z,264,-264.7,260.5,-3.5,0,0.1,3971.6,3945.42,,,SELL,USD,1,1,1583663
D#1702589,XAUUSD,100,288230376154736517,288230376153203482,288230376165862055,288230376165861898,25,2026-06-30T01:08:05.000Z,2026-06-30T01:08:30.000Z,213.2,-214.6,206.2,-7,0,0.2,3947.2,3957.64,3932.98,3956.41,BUY,USD,1,1,1583663
D#1702526,XAUUSD,100,288230376154736562,288230376153203472,288230376165862228,288230376165861785,44,2026-06-30T01:07:57.000Z,2026-06-30T01:08:41.000Z,-156.86,156.09,-160.72,-3.86,0,0.11,3946.66,3961.14,,,SELL,USD,1,1,1583663
