campaign_id,registered_accounts,active_accounts,trade_rows,participation_rate,active_minus_registered,active_not_in_trader,registered_not_active
33,500,137,749,0.274,-363,3,366
34,281,192,942,0.6832740213523132,-89,1,90
35,500,185,1030,0.37,-315,0,315
36,401,221,1457,0.5511221945137157,-180,0,180
37,455,236,1432,0.5186813186813187,-219,2,221
38,500,205,1271,0.41,-295,0,295
39,340,205,1180,0.6029411764705882,-135,0,135
40,381,248,1432,0.6509186351706037,-133,0,133
41,223,177,1227,0.7937219730941704,-46,0,46
42,500,269,1674,0.538,-231,0,231
43,500,229,1404,0.458,-271,0,271
44,500,262,1577,0.524,-238,0,238
45,500,236,1255,0.472,-264,0,264
46,500,277,1390,0.554,-223,0,223
47,500,205,986,0.41,-295,0,295
48,500,264,1469,0.528,-236,0,236
49,500,272,1367,0.544,-228,0,228
50,500,254,1171,0.508,-246,0,246
51,500,216,1165,0.432,-284,0,284
52,500,197,987,0.394,-303,0,303
53,500,211,1063,0.422,-289,0,289
54,500,274,1511,0.548,-226,0,226
55,500,214,1222,0.428,-286,0,286
56,500,294,1732,0.588,-206,0,206
57,500,207,1256,0.414,-293,0,293
58,298,221,1263,0.7416107382550335,-77,0,77
59,500,275,1490,0.55,-225,0,225
60,500,306,1575,0.612,-194,0,194
61,500,267,1573,0.534,-233,0,233
62,495,295,1602,0.5959595959595959,-200,0,200
63,500,275,1715,0.55,-225,0,225
64,500,269,1696,0.538,-231,0,231
65,500,302,1746,0.604,-198,0,198
66,500,268,1911,0.536,-232,0,232
