file,total_rows,embedded_header_count,embedded_header_row_numbers,error,file_type,path
Campaign 33 Data 24 Feb 2026 XAUUSD only (1D).csv,749,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 33 Data 24 Feb 2026 XAUUSD only (1D).csv
Campaign 34 Data 03 Mar 2026 XAUUSD only (1D).csv,942,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 34 Data 03 Mar 2026 XAUUSD only (1D).csv
Campaign 35 Data 06 Mar 2026 XAUUSD only (1D).csv,1030,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 35 Data 06 Mar 2026 XAUUSD only (1D).csv
Campaign 36 Data 09 Mar 2026 XAUUSD only (1D).csv,1457,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 36 Data 09 Mar 2026 XAUUSD only (1D).csv
Campaign 37 Data 13 Mar 2026 XAUUSD only (1D).csv,1432,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 37 Data 13 Mar 2026 XAUUSD only (1D).csv
Campaign 38 Data 17 Mar 2026 XAUUSD only (1D).csv,1271,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 38 Data 17 Mar 2026 XAUUSD only (1D).csv
Campaign 39 Data 20 Mar 2026 XAUUSD only (1D).csv,1180,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 39 Data 20 Mar 2026 XAUUSD only (1D).csv
Campaign 40 Data 24 Mar 2026 XAUUSD only (1D).csv,1432,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 40 Data 24 Mar 2026 XAUUSD only (1D).csv
Campaign 41 Data 27 Mar 2026 XAUUSD only (1D).csv,1227,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 41 Data 27 Mar 2026 XAUUSD only (1D).csv
Campaign 42 Data 31 Mar 2026 XAUUSD only (1D).csv,1674,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 42 Data 31 Mar 2026 XAUUSD only (1D).csv
Campaign 43 Data 6 Apr 2026 XAUUSD only (1D).csv,1404,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 43 Data 6 Apr 2026 XAUUSD only (1D).csv
Campaign 44 Data 10 Apr 2026 XAUUSD only (1D).csv,1577,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 44 Data 10 Apr 2026 XAUUSD only (1D).csv
Campaign 45 Data 14 Apr 2026 XAUUSD only (1D).csv,1255,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 45 Data 14 Apr 2026 XAUUSD only (1D).csv
Campaign 46 Data 17 Apr 2026 XAUUSD only (1D).csv,1390,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 46 Data 17 Apr 2026 XAUUSD only (1D).csv
Campaign 47 Data 24 Apr 2026 XAUUSD only (1D).csv,986,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 47 Data 24 Apr 2026 XAUUSD only (1D).csv
Campaign 48 Data 28 Apr 2026 XAUUSD only (1D).csv,1469,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 48 Data 28 Apr 2026 XAUUSD only (1D).csv
Campaign 49 Data 01 May 2026 XAUUSD only (1D).csv,1367,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 49 Data 01 May 2026 XAUUSD only (1D).csv
Campaign 50 Data 07 May 2026 XAUUSD only (1D).csv,1171,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 50 Data 07 May 2026 XAUUSD only (1D).csv
Campaign 51 Data 12 May 2026 XAUUSD only (1D).csv,1165,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 51 Data 12 May 2026 XAUUSD only (1D).csv
Campaign 52 Data 15 May 2026 XAUUSD only (1D).csv,987,0,[],,trade,c:\Desktop\C22-veNTUre\data\User Trades\Campaign 52 Data 15 May 2026 XAUUSD only (1D).csv
