file,campaign_id,campaign_date,original_rows,cleaned_rows,rows_removed,embedded_header_row_numbers,original_columns,invalid_numeric_counts,invalid_datetime_counts,missing_account_id,missing_open_datetime,missing_close_datetime,error
Campaign 33 Data 24 Feb 2026 XAUUSD only (1D).csv,33,2026-02-24,749,749,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 34 Data 03 Mar 2026 XAUUSD only (1D).csv,34,2026-03-03,942,942,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 35 Data 06 Mar 2026 XAUUSD only (1D).csv,35,2026-03-06,1030,1030,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 36 Data 09 Mar 2026 XAUUSD only (1D).csv,36,2026-03-09,1457,1457,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 37 Data 13 Mar 2026 XAUUSD only (1D).csv,37,2026-03-13,1432,1432,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 38 Data 17 Mar 2026 XAUUSD only (1D).csv,38,2026-03-17,1271,1271,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 39 Data 20 Mar 2026 XAUUSD only (1D).csv,39,2026-03-20,1180,1180,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 40 Data 24 Mar 2026 XAUUSD only (1D).csv,40,2026-03-24,1432,1432,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 41 Data 27 Mar 2026 XAUUSD only (1D).csv,41,2026-03-27,1227,1227,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
Campaign 42 Data 31 Mar 2026 XAUUSD only (1D).csv,42,2026-03-31,1674,1674,0,[],"['accountId', 'instrument', 'lotSize', 'closeTradeId', 'positionId', 'closeOrderId', 'openOrderId', 'durationSec', 'openDateTime', 'closeDateTime', 'profit', 'reverseProfit', 'netProfit', 'commission', 'swap', 'amount', 'openPrice', 'closePrice', 'slPrice', 'tpPrice', 'side', 'currency', 'openTradeCrossPrice', 'closeTradeCrossPrice', 'userGroupId']","{'lot_size': 0, 'duration_sec': 0, 'profit': 0, 'reverse_profit': 0, 'net_profit': 0, 'commission': 0, 'swap': 0, 'amount': 0, 'open_price': 0, 'close_price': 0, 'sl_price': 0, 'tp_price': 0, 'open_trade_cross_price': 0, 'close_trade_cross_price': 0}","{'open_date_time': 0, 'close_date_time': 0}",0,0,0,
