feature_family,feature_name,feature_column,signal_description,test_campaigns,mean_oos_uplift,median_oos_uplift,positive_campaign_share,ci_lower,ci_upper,robustness,stage3_candidate
Challenge State and Drawdown Pressure,Drawdown pressure,realized_distance_to_drawdown_limit,Realized account state is unusually close to the drawdown boundary.,24,20.142013675879692,28.40602289786623,0.5833333333333334,3.3127180025343574,37.32866762634906,robust_positive,True
Challenge State and Drawdown Pressure,Profit-target proximity,realized_distance_to_profit_target,Account is unusually close to the realized profit target.,24,13.161127055481229,-6.114866420701124,0.4166666666666667,-19.371522235770662,48.747271025656595,not_robust,False
Historical Performance,High historical loss magnitude,past_mean_loss_abs_profit_per_lot,Historical average loss magnitude per lot is unusually high.,24,6.632897903636196,14.681693400066228,0.5833333333333334,-15.502521094588563,28.491182743890928,not_robust,False
Historical Performance,Low historical payoff ratio,past_payoff_ratio,Historical average win-to-loss magnitude ratio is unusually low.,24,5.21750830052108,-9.55354406834413,0.4166666666666667,-36.29965374509583,48.85778943609745,not_robust,False
Historical Performance,Low historical win rate,past_idea_win_rate,Historical completed-idea win rate is unusually low.,24,-2.4402024951275747,-5.356596058666602,0.4583333333333333,-25.85446461589419,20.541175911339455,not_robust,False
Loss Response,Fast post-loss re-entry,post_loss_reentry_gap_minutes,Post-loss re-entry gap is unusually short relative to thresholds learned from earlier campaigns.,24,-1.1693560451996134,10.427380975957425,0.5833333333333334,-31.077002172052016,26.653174884269863,not_robust,False
Loss Response,Fast re-entry with size escalation,post_loss_reentry_gap_minutes + post_loss_amount_increased,Trade both re-enters unusually quickly after a loss and increases position size.,24,12.700406163894021,4.532831635032483,0.5,-42.360007615500294,65.67377364872712,not_robust,False
Loss Response,Post-loss size escalation,post_loss_amount_increased,Current position size is larger than the previous completed losing trade.,24,0.698648675035173,18.493087588177183,0.625,-38.77729923053847,36.474286673327896,not_robust,False
Position Sizing,High historical sizing variability,past_amount_cv,Historical position-size coefficient of variation is unusually high.,24,25.99270315421761,16.273574606938702,0.75,6.468000067783575,49.846109461769686,robust_positive,True
Position Sizing,Large current size relative to history,current_to_historical_median_amount_ratio,Current trade size is unusually large relative to the trader's historical median size.,24,-1.9305708346247077,2.9948830919962326,0.5,-24.078806905321752,18.87852885837626,not_robust,False
Position Sizing,Large size during drawdown,current_to_historical_median_amount_ratio,Current size is unusually large while realized P&L is below starting balance.,24,-25.100298440957307,-11.344382197369786,0.375,-63.43447707648286,8.88296656634157,not_robust,False
Stop-Loss and Take-Profit Behaviour,High planned reward-to-risk ratio,planned_reward_to_risk_ratio,Planned reward-to-risk ratio is unusually high.,24,-38.101574375440606,-40.66631213492626,0.375,-69.54419025293586,-7.021722114009518,robust_negative,True
Stop-Loss and Take-Profit Behaviour,Neither SL nor TP vs both,sl_tp_configuration,neither_sl_tp trades compared with trades containing both SL and TP.,24,35.388214260024704,29.017100375884606,0.6666666666666666,9.356110092616222,63.996318972863804,robust_positive,True
Stop-Loss and Take-Profit Behaviour,No stop loss,has_stop_loss,No stop-loss price is recorded for the trade.,24,18.2109456193689,15.421613066831863,0.6666666666666666,-2.7218616039494647,40.02898492406942,not_robust,False
Stop-Loss and Take-Profit Behaviour,No take profit,has_take_profit,No take-profit price is recorded for the trade.,24,36.11523305402053,22.529411062528716,0.7083333333333334,11.172117652050947,63.49814480864117,robust_positive,True
Stop-Loss and Take-Profit Behaviour,SL only vs both SL and TP,sl_tp_configuration,sl_only trades compared with trades containing both SL and TP.,24,83.30350665409912,66.17572449021534,0.875,40.68816723908543,132.84761067791007,robust_positive,True
Stop-Loss and Take-Profit Behaviour,TP only vs both SL and TP,sl_tp_configuration,tp_only trades compared with trades containing both SL and TP.,24,21.72652288970328,7.5028339929947006,0.5416666666666666,-14.5255506953401,57.86157706920439,not_robust,False
Stop-Loss and Take-Profit Behaviour,Wide stop-loss distance,stop_loss_distance_pct,Stop-loss distance is unusually wide relative to entry price.,24,173.64257294646157,141.2340062502662,0.75,77.28368666217072,270.85017845038647,robust_positive,True
Stop-Loss and Take-Profit Behaviour,Wide take-profit distance,take_profit_distance_pct,Take-profit distance is unusually wide relative to entry price.,24,-68.07538416713201,-1.5097173423055632,0.5,-184.7694436110388,11.831496495755381,not_robust,False
Trading Activity and Timing,High cumulative trading intensity,past_trades_opened_per_active_hour,Historical trade-entry rate is unusually high.,24,1.9198384607076024,9.892257417548288,0.625,-18.658666876288738,21.511040792737138,not_robust,False
Trading Activity and Timing,High recent trading intensity,trades_opened_past_30_minutes,Unusually many trades were opened during the 30 minutes before the current entry.,24,-4.417547367643777,-14.09802364371901,0.2916666666666667,-18.214983887273878,10.360007224542377,not_robust,False
Trading Activity and Timing,Unusually fast trading pace,trade_open_gap_to_past_median_ratio,Current trade is opened much sooner than the trader's own historical entry pace.,24,4.735203640398214,18.091763132069254,0.625,-15.478032489650587,23.810290123468675,not_robust,False
